cod_mun_ibge_6;cod_mun_ibge_7;municipio;UF;populacao;total_nascimentos;partos_cesareos;PROP_CESAREOS;ANO
170025;1700251;Abreulândia;TO;2576;30;10;33.33333333333333;2021
170030;1700301;Aguiarnópolis;TO;4497;91;51;56.043956043956044;2021
170035;1700350;Aliança do Tocantins;TO;5147;67;44;65.67164179104478;2021
170040;1700400;Almas;TO;6499;123;50;40.65040650406504;2021
170070;1700707;Alvorada;TO;8802;133;97;72.93233082706767;2021
170100;1701002;Ananás;TO;10325;156;74;47.43589743589743;2021
170105;1701051;Angico;TO;2876;33;18;54.54545454545454;2021
170110;1701101;Aparecida do Rio Negro;TO;4856;72;36;50.0;2021
170130;1701309;Aragominas;TO;5290;64;35;54.6875;2021
170190;1701903;Araguacema;TO;5927;93;51;54.83870967741935;2021
170200;1702000;Araguaçu;TO;8133;94;63;67.02127659574468;2021
170210;1702109;Araguaína;TO;171301;3050;1900;62.295081967213115;2021
170215;1702158;Araguanã;TO;4310;64;28;43.75;2021
170220;1702208;Araguatins;TO;31918;459;176;38.344226579520694;2021
170230;1702307;Arapoema;TO;5550;92;51;55.434782608695656;2021
170240;1702406;Arraias;TO;10287;137;59;43.06569343065693;2021
170255;1702554;Augustinópolis;TO;17484;300;135;45.0;2021
170270;1702703;Aurora do Tocantins;TO;3342;29;11;37.93103448275862;2021
170290;1702901;Axixá do Tocantins;TO;10262;198;94;47.474747474747474;2021
170300;1703008;Babaçulândia;TO;7880;92;46;50.0;2021
170305;1703057;Bandeirantes do Tocantins;TO;3407;57;27;47.368421052631575;2021
170307;1703073;Barra do Ouro;TO;4476;94;53;56.38297872340425;2021
170310;1703107;Barrolândia;TO;4846;61;36;59.01639344262295;2021
170320;1703206;Bernardo Sayão;TO;4229;51;32;62.745098039215684;2021
170330;1703305;Bom Jesus do Tocantins;TO;4038;73;40;54.794520547945204;2021
170360;1703602;Brasilândia do Tocantins;TO;1974;30;21;70.0;2021
170370;1703701;Brejinho de Nazaré;TO;4725;60;27;45.0;2021
170380;1703800;Buriti do Tocantins;TO;10307;146;67;45.89041095890411;2021
170382;1703826;Cachoeirinha;TO;1961;33;18;54.54545454545454;2021
170384;1703842;Campos Lindos;TO;8653;170;74;43.529411764705884;2021
170386;1703867;Cariri do Tocantins;TO;4007;54;35;64.81481481481481;2021
170388;1703883;Carmolândia;TO;2201;36;23;63.888888888888886;2021
170389;1703891;Carrasco Bonito;TO;3318;55;19;34.54545454545455;2021
170390;1703909;Caseara;TO;4847;85;44;51.76470588235295;2021
170410;1704105;Centenário;TO;2131;25;13;52.0;2021
170460;1704600;Chapada de Areia;TO;1501;13;7;53.84615384615385;2021
170510;1705102;Chapada da Natividade;TO;3117;50;28;56.00000000000001;2021
170550;1705508;Colinas do Tocantins;TO;34233;591;362;61.25211505922166;2021
170555;1705557;Combinado;TO;4756;54;31;57.407407407407405;2021
170560;1705607;Conceição do Tocantins;TO;3887;58;30;51.724137931034484;2021
170600;1706001;Couto Magalhães;TO;5331;79;53;67.08860759493672;2021
170610;1706100;Cristalândia;TO;6371;76;36;47.368421052631575;2021
170625;1706258;Crixás do Tocantins;TO;1470;17;13;76.47058823529412;2021
170650;1706506;Darcinópolis;TO;5827;111;58;52.25225225225225;2021
170700;1707009;Dianópolis;TO;17739;299;152;50.836120401337794;2021
170710;1707108;Divinópolis do Tocantins;TO;7024;105;49;46.666666666666664;2021
170720;1707207;Dois Irmãos do Tocantins;TO;6327;66;31;46.96969696969697;2021
170730;1707306;Dueré;TO;4248;57;31;54.385964912280706;2021
170740;1707405;Esperantina;TO;7530;139;52;37.410071942446045;2021
170755;1707553;Fátima;TO;3467;49;25;51.02040816326531;2021
170765;1707652;Figueirópolis;TO;5211;61;41;67.21311475409836;2021
170770;1707702;Filadélfia;TO;7712;94;47;50.0;2021
170820;1708205;Formoso do Araguaia;TO;18881;298;174;58.38926174496645;2021
170825;1708254;Tabocão;TO;3455;57;41;71.9298245614035;2021
170830;1708304;Goianorte;TO;4738;61;45;73.77049180327869;2021
170900;1709005;Goiatins;TO;12433;208;81;38.94230769230769;2021
170930;1709302;Guaraí;TO;24775;364;269;73.9010989010989;2021
170950;1709500;Gurupi;TO;85125;1263;948;75.05938242280284;2021
